code,name,cat,verdict,detail
027941,上银慧泽双利债券A,bond_periodic,no_series,
027861,易方达智享混合C,backend_share,no_series,
128008,国投瑞银成长优选混合(后端),other,no_series,
163408,兴全沪深300指数(LOF)A(后端),etf_lof,no_series,
161655,融通蓝筹成长混合A/B(后端),other,no_series,
017689,华泰紫金恒荣12个月持有期混合发起A,bond_periodic,stale_only,Data_netWorthTrend|Data_ACWorthTrend@2026-05-17
180103,华夏和达高科REIT,reits,no_series,
257041,国联安红利混合(后端),other,no_series,
508005,华夏首创奥莱REIT,reits,no_series,
028587,永赢嘉鑫增利债券A,money_market,no_series,
519713,交银阿尔法核心混合A(后端),other,no_series,
202010,南方盛元红利混合(后端),other,no_series,
006175,万家聚利混合A,other,no_series,
000159,富国高新技术产业混合(后端),other,no_series,
013931,博时富恒一年定开债发起式,bond_periodic,stale_only,Data_netWorthTrend|Data_ACWorthTrend@2026-06-14
018516,恒越安裕纯债债券,bond_periodic,stale_only,Data_netWorthTrend|Data_ACWorthTrend@2026-06-22
027501,兴全盈泰多元配置三个月持有混合FOFC,fof,recoverable,Data_netWorthTrend|Data_ACWorthTrend@2026-07-23
027872,中航祥益债券A,bond_periodic,no_series,
018498,渤海汇金优选平衡一年持有混合发起(FOF)A,fof,stale_only,Data_netWorthTrend|Data_ACWorthTrend@2026-06-11
023020,南方臻利3个月定开债券发起E,bond_periodic,no_series,
162606,景顺长城鼎益混合(LOF)A(后端),etf_lof,no_series,
508030,中航中核汇能新能源REIT,reits,no_series,
164903,交银信用添利债券(LOF)A(后端),bond_periodic,no_series,
551001,中信保诚四季红混合A(后端),other,no_series,
028266,南方稳颐3个月持有混合(FOF)A,fof,no_series,
028298,银华启成六个月持有期债券C,bond_periodic,no_series,
027730,财通资管沪深300指数增强C,backend_share,no_series,
028364,长信稳健睿利债券发起式C,bond_periodic,no_series,
028570,天弘成长共赢混合C,backend_share,no_series,
561610,绿色电力ETF鑫元,etf_lof,no_series,
159073,粮食ETF汇添富,etf_lof,no_series,
000154,富国沪深300指数增强A(后端),other,no_series,
017694,国联安恒瑞3个月定开债券,bond_periodic,stale_only,Data_netWorthTrend|Data_ACWorthTrend@2026-04-20
018250,华泰保兴科睿一年持有混合发起A,other,stale_only,Data_netWorthTrend|Data_ACWorthTrend@2026-06-11
022692,工银添益快线货币B,money_market,no_series,
018351,国泰海通周期精选混合发起A,other,stale_only,Data_netWorthTrend|Data_ACWorthTrend@2026-05-17
026724,永赢裕鑫稳健多资产六个月持有混合(FOF)A,fof,recoverable,Data_netWorthTrend|Data_ACWorthTrend@2026-07-23
017867,泓德高端装备混合发起式C,backend_share,stale_only,Data_netWorthTrend|Data_ACWorthTrend@2026-06-17
026363,国投瑞银聚安稳健6个月持有期混合(FOF)A,fof,recoverable,Data_netWorthTrend|Data_ACWorthTrend@2026-07-23
027334,建信新锐量化选股股票A,other,no_series,
027335,建信新锐量化选股股票C,backend_share,no_series,
161218,国投瑞银中证资源指数(LOF)A(后端),etf_lof,no_series,
027209,广发匠心精选混合A,other,no_series,
018332,嘉实新兴景气混合发起式A,other,stale_only,Data_netWorthTrend|Data_ACWorthTrend@2026-05-14
180501,红土创新深圳安居REIT,reits,stale_only,Data_netWorthTrend|Data_ACWorthTrend@2025-12-30
180602,中金印力消费REIT,reits,stale_only,Data_netWorthTrend|Data_ACWorthTrend@2025-06-29
180302,华夏深国际REIT,reits,stale_only,Data_netWorthTrend|Data_ACWorthTrend@2024-06-24
017865,财通资管博宏积极6个月持有混合发起式(FOF)C,fof,stale_only,Data_netWorthTrend|Data_ACWorthTrend@2026-06-29
508092,华夏金隅智造工场REIT,reits,stale_only,Data_netWorthTrend|Data_ACWorthTrend@2025-01-22
508002,华安百联消费REIT,reits,stale_only,Data_netWorthTrend|Data_ACWorthTrend@2024-07-10
508008,国金中国铁建REIT,reits,stale_only,Data_netWorthTrend|Data_ACWorthTrend@2022-06-26
508006,富国首创水务REIT,reits,stale_only,Data_netWorthTrend|Data_ACWorthTrend@2024-09-01
508609,华安锦江商业REIT,reits,no_series,
027969,交银惠享多资产六个月持有期混合(FOF),fof,no_series,
000731,融通健康产业灵活配置混合A/B(后端),other,no_series,
001269,富国国家安全主题混合A(后端),other,no_series,
000635,富国天盛灵活配置基金(后端),other,no_series,
028521,前海开源中证全指软件开发指数C,backend_share,no_series,
027388,汇泉中债0-5年政金债C,bond_periodic,no_series,
519689,交银精选混合(后端),other,no_series,
051106,博时稳定价值债券A(后端),bond_periodic,no_series,
027204,兴业创新驱动混合发起式C,backend_share,no_series,
027851,华安共赢回报混合C,backend_share,no_series,
100033,富国中证红利指数增强A(后端),other,no_series,
541004,汇丰晋信2026周期混合(后端),other,no_series,
519990,长信双利优选混合A(后端),other,no_series,
960025,嘉实研究精选混合H,backend_share,no_series,
027560,创金合信稳进鑫禧混合C,backend_share,no_series,
027306,中航新能源产业混合C,backend_share,no_series,
158013,航空航天ETF易方达,etf_lof,no_series,
028422,宏利科创精选混合A,other,no_series,
028430,汇安启程混合A,other,no_series,
000718,融通转型三动力灵活配置混合A(后端),other,no_series,
000795,宝盈睿丰创新混合A/B(后端),other,no_series,
000160,富国强回报定开债A/B(后端),bond_periodic,no_series,
